user_id,name,email,signup_date
1,User_1,user1@sql.com,2025-01-01
2,User_2,user2@sql.com,2025-01-02
3,User_3,user3@sql.com,2025-01-03
4,User_4,user4@sql.com,2025-01-04
5,User_5,user5@sql.com,2025-01-05
6,User_6,user6@sql.com,2025-01-06
7,User_7,user7@sql.com,2025-01-07
8,User_8,user8@sql.com,2025-01-08
9,User_9,user9@sql.com,2025-01-09
10,User_10,user10@sql.com,2025-01-10
11,User_11,user11@sql.com,2025-01-11
12,User_12,user12@sql.com,2025-01-12
13,User_13,user13@sql.com,2025-01-13
14,User_14,user14@sql.com,2025-01-14
15,User_15,user15@sql.com,2025-01-15
16,User_16,user16@sql.com,2025-01-16
17,User_17,user17@sql.com,2025-01-17
18,User_18,user18@sql.com,2025-01-18
19,User_19,user19@sql.com,2025-01-19
20,User_20,user20@sql.com,2025-01-20
